Participant,Technique,NumberOfTargets,Perplexity,trial_time
sub_16,AssistVR,4,Medium,23.28656667
sub_16,AssistVR,4,High,27.29248333
sub_16,DiscPIM,1,Low,6.642862667
sub_16,DiscPIM,1,Medium,10.28395667
sub_16,DiscPIM,1,High,8.112792333
sub_16,DiscPIM,2,Low,31.73376333
sub_16,DiscPIM,2,Medium,38.71336667
sub_16,DiscPIM,2,High,56.81893667
sub_16,DiscPIM,4,Low,30.94157
sub_16,DiscPIM,4,Medium,43.17932
sub_16,DiscPIM,4,High,39.14432667
sub_17,AssistVR,1,Low,7.739734333
sub_17,AssistVR,1,Medium,4.059784
sub_17,AssistVR,1,High,18.87014667
sub_17,AssistVR,2,Low,17.00032967
sub_17,AssistVR,2,Medium,18.29999967
sub_17,AssistVR,2,High,21.9838
sub_17,AssistVR,4,Low,9.903207
sub_17,AssistVR,4,Medium,12.09960967
sub_17,AssistVR,4,High,24.238003
sub_17,DiscPIM,1,Low,13.02126333
sub_17,DiscPIM,1,Medium,8.066162
sub_17,DiscPIM,1,High,6.890951
sub_17,DiscPIM,2,Low,33.53125
sub_17,DiscPIM,2,Medium,19.430462
sub_17,DiscPIM,2,High,17.83351767
sub_17,DiscPIM,4,Low,44.46719667
sub_17,DiscPIM,4,Medium,26.66133667
sub_17,DiscPIM,4,High,65.60074
sub_18,AssistVR,1,Low,13.11556
sub_18,AssistVR,1,Medium,8.213582333
sub_18,AssistVR,1,High,33.45559667
sub_18,AssistVR,2,Low,17.24082467
sub_18,AssistVR,2,Medium,12.44164933
sub_18,AssistVR,2,High,21.32021
sub_18,AssistVR,4,Low,8.676310333
sub_18,AssistVR,4,Medium,18.04427067
sub_18,AssistVR,4,High,25.22255
sub_18,DiscPIM,1,Low,5.586486667
sub_18,DiscPIM,1,Medium,6.336415667
sub_18,DiscPIM,1,High,9.942303
sub_18,DiscPIM,2,Low,15.78424
sub_18,DiscPIM,2,Medium,21.60943867
sub_18,DiscPIM,2,High,19.33024
sub_18,DiscPIM,4,Low,34.23915667
sub_18,DiscPIM,4,Medium,49.99982333
sub_18,DiscPIM,4,High,32.08498
sub_19,AssistVR,1,Low,8.826721333
sub_19,AssistVR,1,Medium,9.389353667
sub_19,AssistVR,1,High,8.947756667
