subject_id,Technique,perplexity,num_targets,global_trial_idx,trial_type,trial_id,distance_to_obj,num_attempts,trial_time,left_hand_distance_travelled,right_hand_distance_travelled,left_trigger_clicked,right_trigger_clicked,left_grip_clicked,right_grip_clicked
sub_1,DiscPIM,High,4,104,Repeat,1,13.35391,1,13.00321,1.368569,0.3293314,7,1,0,8
sub_1,DiscPIM,High,4,105,Search,2,11.79911,1,18.14067,2.003294,0.5477357,7,0,0,7
sub_1,DiscPIM,High,4,106,Repeat,2,11.81771,1,13.94955,2.405137,0.4868751,5,2,0,11
sub_1,DiscPIM,High,4,107,Search,3,10.0622,1,22.28929,1.415697,0.7448532,6,0,0,6
sub_1,DiscPIM,High,4,108,Repeat,3,10.08498,1,23.20758,2.294052,0.664915,8,1,0,7
sub_2,AssistVR,Low,2,1,Search,1,4.141956,1,25.72865,0.4405869,1.760034,1,0,1,0
sub_2,AssistVR,Low,2,2,Repeat,1,4.150846,1,9.42984,0.1904202,0.1051927,0,0,0,0
sub_2,AssistVR,Low,2,3,Search,2,5.980845,1,12.52957,0.3744524,0.09286688,0,0,0,0
sub_2,AssistVR,Low,2,4,Repeat,2,5.976149,1,8.564995,0.3265091,0.08905808,0,0,0,0
sub_2,AssistVR,Low,2,5,Search,3,13.29357,1,14.39445,0.3166023,0.1062053,0,0,0,0
sub_2,AssistVR,Low,2,6,Repeat,3,13.29515,1,10.4416,0.2773636,0.09805765,0,0,0,0
sub_2,AssistVR,Low,4,7,Search,1,8.407782,1,14.3539,0.3064387,0.07289956,0,0,0,0
sub_2,AssistVR,Low,4,8,Repeat,1,8.398005,1,9.437119,0.3338934,0.07907601,1,0,0,0
sub_2,AssistVR,Low,4,9,Search,2,13.29263,1,15.14441,0.320845,0.07541829,1,0,0,0
sub_2,AssistVR,Low,4,10,Repeat,2,13.29049,1,11.81694,0.2139784,0.09099327,1,1,0,0
sub_2,AssistVR,Low,4,11,Search,3,5.194329,1,20.47917,0.4813986,0.08712269,1,0,0,0
sub_2,AssistVR,Low,4,12,Repeat,3,5.198441,1,10.6223,0.2888972,0.08132482,0,0,0,0
sub_2,AssistVR,Low,1,13,Search,1,13.57035,1,9.899261,0.2666571,0.08095629,0,0,0,0
sub_2,AssistVR,Low,1,14,Repeat,1,13.57638,1,9.133942,0.2132718,0.07159634,0,0,0,0
sub_2,AssistVR,Low,1,15,Search,2,5.977345,1,9.480621,0.2064577,0.0561938,1,0,0,0
sub_2,AssistVR,Low,1,16,Repeat,2,5.978025,1,3.286041,0.2367748,0.02098523,0,1,0,0
sub_2,AssistVR,Low,1,17,Search,3,11.48092,1,12.43311,0.2501196,0.0537839,0,0,0,0
sub_2,AssistVR,Low,1,18,Repeat,3,11.48272,1,7.119629,0.1650151,0.04089195,0,0,0,0
sub_2,AssistVR,Medium,1,19,Search,1,3.126331,1,34.649,1.236256,2.355717,0,0,1,0
sub_2,AssistVR,Medium,1,20,Repeat,1,3.127786,1,4.357536,0.193071,0.06701721,0,2,0,0
sub_2,AssistVR,Medium,1,21,Search,2,13.58815,1,22.13477,0.4848187,0.2260326,0,0,0,0
sub_2,AssistVR,Medium,1,22,Repeat,2,13.58507,1,2.839035,0.1919102,0.01809906,0,1,0,0
sub_2,AssistVR,Medium,1,23,Search,3,9.996078,1,14.77086,0.288631,0.2290379,0,0,0,0
sub_2,AssistVR,Medium,1,24,Repeat,3,9.990859,1,3.492569,0.1430864,0.04819414,0,3,0,0
sub_2,AssistVR,Medium,2,25,Search,1,13.3066,1,10.94406,0.1565747,0.1091704,0,0,0,0
sub_2,AssistVR,Medium,2,26,Repeat,1,13.30822,1,8.63179,0.2544323,0.06723525,0,0,0,0
sub_2,AssistVR,Medium,2,27,Search,2,11.49649,1,10.23367,0.1434477,0.07149135,1,0,0,0
sub_2,AssistVR,Medium,2,28,Repeat,2,11.4872,1,54.74187,0.8131289,0.2397898,0,0,0,0
sub_2,AssistVR,Medium,2,29,Search,3,13.59438,1,9.467407,0.1558674,0.1301358,1,0,0,0
sub_2,AssistVR,Medium,2,30,Repeat,3,13.58529,1,8.450684,0.1438376,0.1508525,0,0,0,0
sub_2,AssistVR,Medium,4,31,Search,1,5.190521,1,10.88739,0.3014504,0.2579271,0,0,0,0
sub_2,AssistVR,Medium,4,32,Repeat,1,5.237146,1,7.27948,0.1897875,0.06863727,1,0,0,0
sub_2,AssistVR,Medium,4,33,Search,2,8.437335,1,25.03311,0.3102626,0.170403,1,0,0,0
sub_2,AssistVR,Medium,4,34,Repeat,2,8.430104,1,22.34518,0.2221683,0.2882591,1,0,0,0
sub_2,AssistVR,Medium,4,35,Search,3,3.153311,1,30.05716,0.2349549,0.4362167,0,0,0,0
sub_2,AssistVR,Medium,4,36,Repeat,3,3.149236,1,17.1618,0.1601494,0.1468188,1,0,0,0
sub_2,AssistVR,High,1,37,Search,1,12.17404,1,8.978485,0.1612856,0.1401075,1,0,0,0
sub_2,AssistVR,High,1,38,Repeat,1,12.1713,1,8.033737,0.1407572,0.1158518,0,0,0,0
sub_2,AssistVR,High,1,39,Search,2,8.710592,1,8.703796,0.1448206,0.1035366,0,0,0,0
sub_2,AssistVR,High,1,40,Repeat,2,8.713199,1,21.4976,0.4305655,0.2504816,1,0,0,0
sub_2,AssistVR,High,1,41,Search,3,11.8245,1,6.891342,0.1061107,0.08150123,1,0,0,0
sub_2,AssistVR,High,1,42,Repeat,3,11.82248,1,6.389496,0.113218,0.09150293,1,0,0,0
sub_2,AssistVR,High,2,43,Search,1,12.17654,1,7.372147,0.1471167,0.125627,0,0,0,0
sub_2,AssistVR,High,2,44,Repeat,1,12.17982,1,6.543259,0.1378144,0.1173099,1,0,0,0
