Participant,Technique,NumberOfTargets,Perplexity,trial_time
sub_11,DiscPIM,4,High,21.12864
sub_12,AssistVR,1,Low,7.690287333
sub_12,AssistVR,1,Medium,6.633239667
sub_12,AssistVR,1,High,12.67425633
sub_12,AssistVR,2,Low,6.296997
sub_12,AssistVR,2,Medium,7.041381667
sub_12,AssistVR,2,High,7.274088667
sub_12,AssistVR,4,Low,6.128235
sub_12,AssistVR,4,Medium,9.618714
sub_12,AssistVR,4,High,7.811508
sub_12,DiscPIM,1,Low,4.912313
sub_12,DiscPIM,1,Medium,3.670735667
sub_12,DiscPIM,1,High,5.260549
sub_12,DiscPIM,2,Low,8.398417
sub_12,DiscPIM,2,Medium,10.32445267
sub_12,DiscPIM,2,High,10.992758
sub_12,DiscPIM,4,Low,17.71236
sub_12,DiscPIM,4,Medium,18.34256
sub_12,DiscPIM,4,High,19.45133333
sub_13,AssistVR,1,Low,8.335540667
sub_13,AssistVR,1,Medium,9.286738667
sub_13,AssistVR,1,High,18.838225
sub_13,AssistVR,2,Low,7.160441
sub_13,AssistVR,2,Medium,9.904900667
sub_13,AssistVR,2,High,23.93839667
sub_13,AssistVR,4,Low,7.539418667
sub_13,AssistVR,4,Medium,9.620741667
sub_13,AssistVR,4,High,16.39347767
sub_13,DiscPIM,1,Low,4.241089
sub_13,DiscPIM,1,Medium,4.427165
sub_13,DiscPIM,1,High,11.61913667
sub_13,DiscPIM,2,Low,11.410948
sub_13,DiscPIM,2,Medium,15.533
sub_13,DiscPIM,2,High,15.57760333
sub_13,DiscPIM,4,Low,17.93585333
sub_13,DiscPIM,4,Medium,18.14772667
sub_13,DiscPIM,4,High,24.30157333
sub_14,AssistVR,1,Low,6.047099
sub_14,AssistVR,1,Medium,10.90307767
sub_14,AssistVR,1,High,5.606527667
sub_14,AssistVR,2,Low,7.164816
sub_14,AssistVR,2,Medium,8.275110667
sub_14,AssistVR,2,High,8.780873667
sub_14,AssistVR,4,Low,8.400675667
sub_14,AssistVR,4,Medium,17.41719
sub_14,AssistVR,4,High,9.189392333
sub_14,DiscPIM,1,Low,4.858907
sub_14,DiscPIM,1,Medium,3.228536
sub_14,DiscPIM,1,High,4.050293
sub_14,DiscPIM,2,Low,8.185892667
sub_14,DiscPIM,2,Medium,14.33976
sub_14,DiscPIM,2,High,9.222433333
sub_14,DiscPIM,4,Low,13.514
sub_14,DiscPIM,4,Medium,31.85894667
sub_14,DiscPIM,4,High,30.60520333
sub_15,AssistVR,1,Low,5.239800667
sub_15,AssistVR,1,Medium,2.752034333
sub_15,AssistVR,1,High,8.469188
sub_15,AssistVR,2,Low,13.730525
sub_15,AssistVR,2,Medium,17.87466767
sub_15,AssistVR,2,High,15.532146
sub_15,AssistVR,4,Low,10.91490667
sub_15,AssistVR,4,Medium,13.57718633
sub_15,AssistVR,4,High,15.78690667
sub_15,DiscPIM,1,Low,7.77425
sub_15,DiscPIM,1,Medium,7.337178667
sub_15,DiscPIM,1,High,12.23592233
sub_15,DiscPIM,2,Low,8.413696
sub_15,DiscPIM,2,Medium,26.51316333
sub_15,DiscPIM,2,High,18.80961
sub_15,DiscPIM,4,Low,19.80151333
sub_15,DiscPIM,4,Medium,28.27090333
sub_15,DiscPIM,4,High,31.23124333
sub_16,AssistVR,1,Low,5.104675333
sub_16,AssistVR,1,Medium,7.800129
sub_16,AssistVR,1,High,14.66534433
sub_16,AssistVR,2,Low,10.63474167
sub_16,AssistVR,2,Medium,7.596576667
